,종목코드,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
2100,047310,파워로직스,8080.0,190.0,+2.41%,500.0,2781.0,34421.0,2.77,237066.0,-15.81,-11.02
2101,114810,아이원스,10900.0,200.0,+1.87%,500.0,2780.0,25503.0,4.18,437384.0,17.81,0.33
2102,084650,랩지노믹스,24200.0,550.0,+2.33%,500.0,2771.0,11450.0,0.9,247510.0,4.28,
2103,053610,프로텍,25150.0,600.0,+2.44%,500.0,2766.0,11000.0,1.28,31178.0,6.59,5.54
2104,200230,텔콘RF제약,2765.0,5.0,+0.18%,100.0,2762.0,99909.0,4.5,182126.0,-4.73,-41.93
2105,259630,엠플러스,24000.0,1800.0,+8.11%,500.0,2756.0,11483.0,5.35,1375952.0,-156.86,11.66
2106,270660,에브리봇,45150.0,6250.0,+16.07%,500.0,2752.0,6096.0,0.87,450090.0,-235.16,-8.23
2107,086890,이수앱지스,8260.0,40.0,+0.49%,500.0,2741.0,33183.0,0.88,68114.0,-15.1,-40.23
2108,301300,바이브컴퍼니,49100.0,2050.0,+4.36%,500.0,2721.0,5541.0,1.11,56403.0,-93.7,
2109,192440,슈피겐코리아,43750.0,100.0,-0.23%,500.0,2720.0,6216.0,14.23,15936.0,7.16,16.96
2110,332570,와이팜,7320.0,180.0,+2.52%,500.0,2719.0,37141.0,0.13,136931.0,-86.12,
2111,108860,셀바스AI,12300.0,50.0,+0.41%,500.0,2713.0,22056.0,1.19,1113316.0,91.11,12.3
2112,023760,한국캐피탈,854.0,1.0,-0.12%,500.0,2695.0,315610.0,0.29,188010.0,6.1,10.87
2113,115180,큐리언트,30300.0,0.0,0.00%,500.0,2692.0,8883.0,1.26,0.0,-14.05,-52.68
2114,035810,이지홀딩스,4125.0,45.0,+1.10%,500.0,2687.0,65146.0,2.65,159200.0,4.59,21.17
2115,054620,APS홀딩스,13150.0,450.0,+3.54%,500.0,2682.0,20394.0,1.33,203344.0,-6.77,-24.63
2116,052260,현대바이오랜드,17850.0,400.0,-2.19%,500.0,2678.0,15000.0,4.85,73380.0,-40.29,-9.25
2117,144960,뉴파워프라즈마,6110.0,10.0,+0.16%,100.0,2670.0,43693.0,2.76,240402.0,7.19,20.37
2118,179900,유티아이,16450.0,150.0,+0.92%,500.0,2666.0,16207.0,8.53,119186.0,228.47,0.92
2119,019550,SBI인베스트먼트,1645.0,40.0,+2.49%,500.0,2666.0,162067.0,5.83,618635.0,13.71,13.67
2120,068930,디지털대성,8960.0,70.0,+0.79%,500.0,2665.0,29747.0,2.32,31506.0,13.04,10.24
2121,078890,가온미디어,16800.0,700.0,+4.35%,500.0,2663.0,15852.0,4.43,1084140.0,12.1,1.85
2122,078350,한양디지텍,17400.0,1050.0,+6.42%,500.0,2653.0,15244.0,7.61,197168.0,13.89,11.71
2123,322310,오로스테크놀로지,28300.0,1100.0,+4.04%,500.0,2651.0,9367.0,1.96,61935.0,85.5,5.81
2124,093320,케이아이엔엑스,54300.0,200.0,-0.37%,500.0,2650.0,4880.0,22.31,29147.0,16.87,15.63
2125,052710,아모텍,27050.0,350.0,+1.31%,500.0,2636.0,9743.0,3.33,32778.0,-14.63,-8.67
2126,115960,연우,21250.0,350.0,+1.67%,500.0,2635.0,12398.0,19.65,15618.0,11.05,5.31
2127,139670,키네마스터,19400.0,250.0,+1.31%,500.0,2628.0,13546.0,1.18,72967.0,-334.48,18.34
2128,090360,로보스타,26950.0,1150.0,+4.46%,500.0,2628.0,9750.0,2.13,1745413.0,-113.71,-14.67
2129,226330,신테카바이오,19450.0,350.0,+1.83%,500.0,2626.0,13500.0,0.0,853277.0,-33.13,-14.8
2130,051160,지어소프트,18000.0,50.0,-0.28%,500.0,2623.0,14575.0,12.51,143104.0,-692.31,55.83
2131,290550,디케이티,15900.0,1400.0,+9.66%,500.0,2618.0,16463.0,2.79,553482.0,23.84,17.23
2132,284620,카이노스메드,2370.0,25.0,+1.07%,100.0,2614.0,110290.0,3.84,129652.0,-16.34,-89.72
2133,214180,민앤지,19700.0,50.0,+0.25%,500.0,2612.0,13257.0,13.5,58070.0,11.57,15.9
2134,228760,지노믹트리,12800.0,50.0,-0.39%,500.0,2602.0,20328.0,1.24,29596.0,-26.67,-11.55
2135,288330,브릿지바이오테라퓨틱스,13150.0,450.0,+3.54%,500.0,2592.0,19707.0,2.78,132417.0,-11.02,-28.65
2136,262260,에이프로,37600.0,200.0,-0.53%,500.0,2587.0,6881.0,1.11,162814.0,-35.34,
2137,045970,코아시아,9830.0,100.0,+1.03%,500.0,2587.0,26315.0,4.1,74383.0,-112.99,-6.09
2138,017890,한국알콜,11950.0,50.0,+0.42%,500.0,2582.0,21606.0,3.93,54303.0,5.45,14.55
2139,048910,대원미디어,20500.0,350.0,+1.74%,500.0,2579.0,12579.0,3.59,55152.0,35.41,5.03
2140,056080,유진로봇,6870.0,1350.0,+24.46%,500.0,2577.0,37512.0,12.78,31668958.0,-41.14,-22.55
2141,039560,다산네트웍스,7070.0,50.0,+0.71%,500.0,2572.0,36381.0,1.26,44001.0,-13.94,-8.47
2142,357230,에이치피오,12900.0,0.0,0.00%,500.0,2572.0,19938.0,3.41,52326.0,12.06,35.59
2143,023600,삼보판지,15850.0,100.0,-0.63%,500.0,2563.0,16170.0,4.29,26941.0,4.62,9.64
2144,347770,핌스,33800.0,150.0,+0.45%,500.0,2560.0,7575.0,3.47,279830.0,46.56,15.65
2145,258830,세종메디칼,6270.0,40.0,+0.64%,100.0,2550.0,40666.0,0.45,2668909.0,-122.94,1.03
2146,019210,와이지-원,8310.0,240.0,+2.97%,500.0,2541.0,30574.0,14.16,315202.0,56.53,-11.33
2147,300080,플리토,48750.0,2650.0,+5.75%,500.0,2540.0,5210.0,12.42,129802.0,-45.86,-20.6
2148,060280,큐렉소,7590.0,240.0,+3.27%,500.0,2539.0,33449.0,0.81,120984.0,-843.33,0.94
2149,027710,팜스토리,2270.0,35.0,+1.57%,500.0,2529.0,111417.0,1.51,485574.0,7.8,14.74
2150,049180,셀루메드,6370.0,10.0,+0.16%,500.0,2523.0,39607.0,1.04,110531.0,56.88,0.51
2151,092070,디엔에프,21800.0,150.0,+0.69%,500.0,2523.0,11572.0,6.14,84687.0,25.06,
2152,054920,한컴위드,8940.0,90.0,+1.02%,500.0,2523.0,28217.0,2.05,124744.0,31.15,5.99
2153,123040,엠에스오토텍,5770.0,120.0,+2.12%,500.0,2516.0,43604.0,0.83,117019.0,-4.02,-87.38
2154,094820,일진파워,16650.0,450.0,+2.78%,500.0,2511.0,15079.0,1.19,318863.0,21.88,10.85
2155,052020,에스티큐브,8210.0,70.0,+0.86%,500.0,2510.0,30576.0,3.34,32498.0,-14.63,-49.2
2156,377450,리파인,14450.0,100.0,-0.69%,100.0,2504.0,17330.0,1.25,63481.0,,
2157,032820,우리기술,1750.0,5.0,+0.29%,500.0,2503.0,143027.0,1.9,1933692.0,-76.09,-2.94
2158,333620,엔시스,23700.0,400.0,+1.72%,100.0,2502.0,10556.0,0.8,457722.0,388.52,
2159,044490,태웅,12500.0,0.0,0.00%,500.0,2501.0,20007.0,1.7,0.0,-2.48,-18.21
2160,277880,티에스아이,13450.0,350.0,-2.54%,500.0,2493.0,18534.0,1.31,1231549.0,-23.93,-5.28
2161,104200,NHN벅스,16750.0,650.0,+4.04%,500.0,2484.0,14828.0,0.78,925549.0,-36.89,-5.78
2162,021080,에이티넘인베스트,5170.0,120.0,+2.38%,500.0,2482.0,48000.0,5.53,779667.0,8.81,17.04
2163,099750,이지케어텍,38800.0,400.0,+1.04%,500.0,2478.0,6386.0,0.36,17002.0,-204.21,-21.01
2164,143160,아이디스,23100.0,100.0,+0.43%,500.0,2475.0,10716.0,1.27,17212.0,13.75,7.14
2165,122640,예스티,14300.0,350.0,+2.51%,500.0,2473.0,17291.0,1.89,130642.0,-14.47,0.48
2166,220100,퓨쳐켐,18100.0,400.0,+2.26%,500.0,2470.0,13646.0,1.61,39346.0,-14.61,-84.72
2167,174900,앱클론,16150.0,250.0,+1.57%,500.0,2467.0,15278.0,11.45,29429.0,-24.88,-19.92
2168,205500,액션스퀘어,5940.0,60.0,+1.02%,500.0,2466.0,41523.0,0.16,469638.0,-53.51,-10.46
2169,079370,제우스,23700.0,250.0,+1.07%,500.0,2461.0,10384.0,5.21,66338.0,14.52,7.82
2170,225530,보광산업,6770.0,20.0,+0.30%,500.0,2460.0,36339.0,3.25,149932.0,19.57,
2171,090850,현대이지웰,10350.0,150.0,+1.47%,500.0,2458.0,23746.0,26.66,93091.0,14.42,19.36
2172,014620,성광벤드,8550.0,180.0,+2.15%,500.0,2445.0,28600.0,5.18,109841.0,-55.88,-0.32
2173,036890,진성티이씨,10850.0,100.0,-0.91%,500.0,2439.0,22482.0,4.28,142021.0,15.63,10.48
2174,018290,브이티지엠피,7070.0,100.0,+1.43%,500.0,2438.0,34484.0,3.42,63802.0,13.81,1.69
2175,203400,에이비온,12950.0,100.0,-0.77%,500.0,2429.0,18754.0,0.26,41980.0,-17.13,67.47
2176,042370,비츠로테크,9230.0,250.0,+2.78%,500.0,2418.0,26200.0,0.64,118041.0,20.11,11.11
2177,126340,비나텍,46200.0,700.0,+1.54%,500.0,2408.0,5213.0,1.27,23377.0,55.53,14.83
2178,096240,청담러닝,31900.0,1600.0,+5.28%,500.0,2400.0,7524.0,3.56,217315.0,13.14,9.22
2179,195990,에이비프로바이오,943.0,12.0,+1.29%,500.0,2385.0,252876.0,6.43,960937.0,-6.33,-45.97
2180,102120,어보브반도체,13650.0,350.0,+2.63%,500.0,2383.0,17460.0,1.38,80401.0,28.92,14.65
2181,096040,이트론,447.0,10.0,+2.29%,200.0,2360.0,527924.0,1.06,4350619.0,-63.86,-13.31
2182,150840,인트로메딕,6170.0,370.0,+6.38%,100.0,2359.0,38234.0,0.92,2771199.0,-37.17,-37.67
2183,054780,키이스트,13000.0,650.0,+5.26%,500.0,2357.0,18128.0,7.88,208165.0,-36.93,22.42
2184,013030,하이록코리아,17250.0,150.0,-0.86%,500.0,2348.0,13613.0,14.28,74171.0,21.64,1.57
2185,142760,바이오리더스,8190.0,120.0,+1.49%,500.0,2347.0,28658.0,0.0,207042.0,-14.29,-77.68
2186,241690,유니테크노,9380.0,30.0,+0.32%,500.0,2346.0,25012.0,2.05,172785.0,25.49,13.87
2187,340930,유일에너테크,21950.0,300.0,+1.39%,500.0,2343.0,10675.0,1.09,384966.0,-88.87,30.63
2188,256940,케이피에스,12600.0,0.0,0.00%,500.0,2336.0,18536.0,0.96,30283.0,-32.9,-5.98
2189,006620,동구바이오제약,8200.0,60.0,+0.74%,500.0,2334.0,28465.0,0.63,99571.0,31.3,10.14
2190,159580,제로투세븐,11650.0,400.0,+3.56%,500.0,2334.0,20033.0,1.2,246495.0,190.98,-0.85
2191,236810,엔비티,27450.0,50.0,+0.18%,100.0,2330.0,8488.0,0.11,859392.0,83.94,40.72
2192,089890,코세스,13900.0,400.0,+2.96%,500.0,2305.0,16585.0,0.75,1831132.0,38.94,22.76
2193,040910,아이씨디,12750.0,450.0,+3.66%,500.0,2303.0,18065.0,5.63,66807.0,-67.82,20.49
2194,054450,텔레칩스,17050.0,500.0,+3.02%,500.0,2303.0,13506.0,0.0,319312.0,2435.71,-9.63
2195,045660,에이텍,27850.0,1850.0,-6.23%,500.0,2300.0,8260.0,0.96,641530.0,35.03,10.99
